Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type,Emotion_Detail,Sentiment_Label
0,589000,530,"(2022, 12, 5)",权利者游戏官方号,96953,141,颜值一般般啦！看久了也没感觉了,5,Hong Kong Protests,None,厌恶,negative
4,1950000,44000,"(2019, 8, 17)",共青团中央,11416573,130,活着污染空气，死了浪费土地,5,Hong Kong Protests,Government,厌恶,negative
0,2094000,560,"(2023, 5, 12)",东风吹过一路生花,2078,17,不用打问号，下榜的那前几个真的就盯着上榜的举报的,7,Hong Kong Protests,None,厌恶,negative
4,564000,2060,"(2020, 6, 13)",广东共青团,1724625,44,如  家  呵  护,10,Hong Kong Protests,Government,开心,positive
4,594000,2542,"(2020, 6, 11)",广东共青团,1724625,15,说白了还是无知，所以才会被人误导,2,Hong Kong Protests,Government,厌恶,negative
1,360000,1673,"(2023, 12, 29)",胆子不小的郑吉祥,936878,169,就是他干的，后来广东警方确认了,8,Hong Kong Protests,Famous Content Creator,惊讶,negative
4,594000,2542,"(2020, 6, 11)",广东共青团,1724625,15,这是在中国的土地啊。。,3,Hong Kong Protests,Government,厌恶,negative
4,260000,1141,"(2019, 9, 2)",广东共青团,1724625,63,西方亡我之心不死,3,Hong Kong Protests,Government,悲伤,negative
2,2255000,16000,"(2021, 4, 22)",卢克文工作室,4368332,5,太好了！,7,Hong Kong Protests,Influencer,开心,positive
1,1112000,4255,"(2024, 12, 9)",世界需要恐怖片,489577,115,是个胶佬,3,Hong Kong Protests,Famous Content Creator,厌恶,negative
4,3486000,5414,"(2021, 7, 14)",广东共青团,1724625,139,7月7日居然还会发生这种事情,6,Hong Kong Protests,Government,惊讶,negative
2,693000,8352,"(2021, 12, 8)",卢克文工作室,4368342,122,过去繁荣是建立在大陆没有开放，做中间商赚差价。现在全球化了，不需要你个中间商了,1,Hong Kong Protests,Influencer,厌恶,negative
2,2255000,16000,"(2021, 4, 22)",卢克文工作室,4368332,5,辛苦了,9,Hong Kong Protests,Influencer,开心,positive
4,389000,1057,"(2019, 11, 23)",广东共青团,1724625,91,节哀,8,Hong Kong Protests,Government,悲伤,negative
0,609000,2146,"(2022, 1, 8)",陌路狂欢GO,15838,147,什么为什么？,5,Hong Kong Protests,None,厌恶,negative
4,1111000,8604,"(2019, 11, 11)",广东共青团,1724625,61,以理服人,7,Hong Kong Protests,Government,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,致敬致敬致敬致敬致敬,8,Hong Kong Protests,Media,喜欢,positive
5,182000,720,"(2019, 12, 2)",中国日报,2994317,33,那群人做贼心虚。,4,Hong Kong Protests,Media,厌恶,negative
2,464000,4814,"(2021, 5, 5)",探骊探世界,240082,183,经典词汇,4,Hong Kong Protests,Influencer,喜欢,positive
1,862000,2890,"(2022, 9, 14)",我是十四哦丶,522434,170,古惑仔不用脑，一世都是飞机,6,Hong Kong Protests,Famous Content Creator,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,大王排面,9,Hong Kong Protests,Media,开心,positive
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,天下谁人不识君,9,Hong Kong Protests,Media,厌恶,negative
5,1632000,8230,"(2019, 11, 27)",央视新闻,20926839,3,诶，过分了，到底是犯罪还是在杀人？？？,6,Hong Kong Protests,Media,生气,negative
0,790000,4123,"(2023, 8, 20)",毒蛊酱,93973,152,太笨了这都没认出来 还不快跑,5,Hong Kong Protests,None,厌恶,negative
5,1992000,16000,"(2019, 11, 20)",央视新闻,20926845,66,辽宁人民坚决维护祖国统一,8,Hong Kong Protests,Media,喜欢,positive
1,862000,2890,"(2022, 9, 14)",我是十四哦丶,522434,170,古惑仔不敢苟同，古惑仔就是告诉你，混黑得没有好下场。浩南一部一个兄弟,5,Hong Kong Protests,Famous Content Creator,厌恶,negative
5,1906000,4894,"(2020, 7, 4)",央视新闻,20926844,30,好骂,10,Hong Kong Protests,Media,厌恶,negative
1,1560000,16000,"(2024, 10, 18)",勾手老大爷邓肯,2085321,111,逝者安息,8,Hong Kong Protests,Famous Content Creator,悲伤,negative
4,565000,4642,"(2019, 9, 1)",广东共青团,1724625,68,这人必须开除国籍,10,Hong Kong Protests,Government,生气,negative
4,1368000,37000,"(2020, 5, 18)",共青团中央,11416573,1,悍匪,10,Hong Kong Protests,Government,生气,negative
0,335000,1040,"(2024, 7, 12)",老咩头,57976,164,5,3,Hong Kong Protests,None,厌恶,negative
4,2976000,22000,"(2019, 11, 19)",广东共青团,1724625,21,四川人想让你感受热情,7,Hong Kong Protests,Government,喜欢,positive
1,877000,14000,"(2019, 10, 25)",马督工,2037056,49,又,8,Hong Kong Protests,Famous Content Creator,厌恶,negative
5,182000,720,"(2019, 12, 2)",中国日报,2994317,33,这声音听着好难受,10,Hong Kong Protests,Media,悲伤,negative
5,2757000,3649,"(2019, 10, 13)",央视网,4775152,75,阿sir辛苦，加油！,5,Hong Kong Protests,Media,喜欢,positive
4,1111000,8604,"(2019, 11, 11)",广东共青团,1724625,61,阿sir辛苦了！请一定要注意安全啊啊！,8,Hong Kong Protests,Government,开心,positive
0,252000,1299,"(2024, 12, 9)",DJ_HUMBLE,25979,12,那都看人情 。太扯了,10,Hong Kong Protests,None,厌恶,negative
1,877000,14000,"(2019, 10, 25)",马督工,2037056,49,左手网，哈哈哈,9,Hong Kong Protests,Famous Content Creator,开心,positive
4,1588000,6341,"(2019, 11, 11)",青春山东,461528,136,好惨啊,8,Hong Kong Protests,Government,悲伤,negative
4,259000,629,"(2019, 10, 26)",广东共青团,1724625,40,甚至你在破坏之后十几年都不能重建到现在的水平,2,Hong Kong Protests,Government,厌恶,negative
0,473000,3433,"(2019, 8, 31)",观视频工作室,3926463,38,雇佣,8,Hong Kong Protests,None,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,致敬,8,Hong Kong Protests,Media,喜欢,positive
1,3479000,22000,"(2021, 4, 30)",毒舌的南瓜,2299715,4,莫言也是，写的都是什么鬼东西,8,Hong Kong Protests,Famous Content Creator,厌恶,negative
4,429000,1937,"(2019, 11, 5)",广东共青团,1724625,86,我想放个无双,9,Hong Kong Protests,Government,喜欢,positive
2,693000,8352,"(2021, 12, 8)",卢克文工作室,4368342,122,跟日本差不多,3,Hong Kong Protests,Influencer,厌恶,negative
1,360000,1673,"(2023, 12, 29)",胆子不小的郑吉祥,936878,169,休嘟嘟嘟嘟,7,Hong Kong Protests,Famous Content Creator,开心,positive
4,2976000,22000,"(2019, 11, 19)",广东共青团,1724625,21,捡起来，砸回去,6,Hong Kong Protests,Government,厌恶,negative
0,252000,1299,"(2024, 12, 9)",DJ_HUMBLE,25979,12,已经不是法制了,5,Hong Kong Protests,None,厌恶,negative
0,398000,1427,"(2023, 9, 28)",春典JARGON,180958,90,有一只手阿！呕呕呕,1,Hong Kong Protests,None,厌恶,negative
4,2751000,32000,"(2019, 8, 7)",浙江共青团,1543514,24,黑白颠倒,8,Hong Kong Protests,Government,厌恶,negative
0,89000,52,"(2024, 12, 23)",天琪说,34897,100,已经不是普通的学生了，必须出重拳！,3,Hong Kong Protests,None,厌恶,negative
0,500000,2506,"(2023, 6, 11)",好吃的脆脆酱,2535,97,海关态度也很差,6,Hong Kong Protests,None,厌恶,negative
1,360000,1673,"(2023, 12, 29)",胆子不小的郑吉祥,936878,169,从此以后用电话本垫着揍,5,Hong Kong Protests,Famous Content Creator,厌恶,negative
4,3325000,52000,"(2019, 7, 28)",广东共青团,1724625,149,如果奇迹有颜色。那一定是中国红。,5,Hong Kong Protests,Government,喜欢,positive
5,182000,720,"(2019, 12, 2)",中国日报,2994317,33,曾志伟？,7,Hong Kong Protests,Media,厌恶,negative
4,1193000,16000,"(2019, 8, 9)",浙江共青团,1543514,84,敬礼,9,Hong Kong Protests,Government,喜欢,positive
0,86000,184,"(2025, 1, 15)",午夜阁楼,7936,185,cc,1,Hong Kong Protests,None,厌恶,negative
5,466000,13000,"(2020, 7, 5)",央视新闻,20926845,56,加油,5,Hong Kong Protests,Media,喜欢,positive
4,1650000,190,"(2020, 3, 3)",青春山东,461528,118,糖豆人淘汰赛,10,Hong Kong Protests,Government,厌恶,negative
2,693000,8352,"(2021, 12, 8)",卢克文工作室,4368342,122,支持,1,Hong Kong Protests,Influencer,喜欢,positive
0,187000,892,"(2023, 8, 30)",老咩头,57976,132,我用过！,4,Hong Kong Protests,None,喜欢,positive
5,1524000,12000,"(2021, 4, 14)",央视新闻,20926840,10,？？？,9,Hong Kong Protests,Media,厌恶,negative
4,3487000,4396,"(2019, 11, 19)",广东共青团,1724625,131,哈哈哈哈哈哈哈,7,Hong Kong Protests,Government,开心,positive
4,259000,629,"(2019, 10, 26)",广东共青团,1724625,40,波哥威武,7,Hong Kong Protests,Government,喜欢,positive
5,254000,150,"(2022, 6, 21)",點新聞,59655,123,我选邓伯,10,Hong Kong Protests,Media,喜欢,positive
