Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type
0,1537000,22000,"(2019, 9, 16)",大权Moment,15401,109,站起来了,10,China Progress,None
2,483000,1682,"(2021, 10, 18)",卢克文工作室,4368515,6,太不容易了。,5,China Progress,Influencer
2,419000,2062,"(2022, 12, 1)",远方的青木,484830,146,这不是好事嘛？？,2,China Progress,Influencer
5,1186000,26000,"(2018, 11, 28)",观察者网,7368386,167,谢谢政委，受教了！,10,China Progress,Media
5,1614000,2159,"(2022, 10, 15)",人民日报,16202447,137,雪如意,7,China Progress,Media
2,421000,5394,"(2020, 11, 3)",花猫哥哥713,208049,1,打破心中的神,9,China Progress,Influencer
2,421000,5394,"(2020, 11, 3)",花猫哥哥713,208049,1,人有多大能力就享受什么样的生活,9,China Progress,Influencer
0,1440000,39000,"(2024, 4, 9)",风中火音扬,37144,150,上号了,7,China Progress,None
0,100000,875,"(2023, 3, 17)",车轮哥Wheelsboy,180573,173,老外：外国货 高级！ 哈哈,5,China Progress,None
0,1440000,39000,"(2024, 4, 9)",风中火音扬,37144,150,作为八零后出生的我，一路听来心潮澎湃，激动不已！我为祖国骄傲自豪！,7,China Progress,None
1,731000,1975,"(2023, 7, 31)",LUNA璐娜,160800,31,日韩友谊靠美国,1,China Progress,Famous Content Creator
4,630000,1806,"(2020, 11, 25)",共青团中央,11416635,175,那你这也太爱国了吧 你让我们这些人怎么办？,2,China Progress,Government
9,47000,86,"(2025, 1, 3)",杜文龙,79469,115,核聚变宇宙飞船也要跟上,10,China Progress,Public Figure
2,421000,5394,"(2020, 11, 3)",花猫哥哥713,208049,1,Bgm别停啊,1,China Progress,Influencer
0,1103000,14000,"(2025, 1, 25)",上角看历史,52724,139,不应该是人皇吗？,8,China Progress,None
1,1282000,7906,"(2020, 4, 23)",8KRAW,1089897,91,别人有的我们都有,9,China Progress,Famous Content Creator
5,1186000,26000,"(2018, 11, 28)",观察者网,7368386,167,我玩文明就不喜欢结盟,5,China Progress,Media
