Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,疯狂暗示,9,Xinjiang Counter-terrorism,Famous Content Creator
2,24115000,197000,"(2020, 7, 23)",乌鸦校尉CaptainWuya,2926525,46,致敬,5,Xinjiang Counter-terrorism,Influencer
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,大哥奶茶呢？,6,Xinjiang Counter-terrorism,None
0,302000,1062,"(2024, 11, 15)",我是小木ovo,3286,42,666吃瓜吃到自己家,5,Xinjiang Counter-terrorism,None
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,撒盐效果不太行 现在都是扫一遍以后用喷枪,9,Xinjiang Counter-terrorism,None
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,啊？,9,Xinjiang Counter-terrorism,Famous Content Creator
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,亚克西,6,Xinjiang Counter-terrorism,Government
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,致敬,6,Xinjiang Counter-terrorism,Famous Content Creator
2,24115000,197000,"(2020, 7, 23)",乌鸦校尉CaptainWuya,2926525,46,致敬！,9,Xinjiang Counter-terrorism,Influencer
1,2128000,5002,"(2024, 6, 28)",世界见闻录,1474622,133,北大荒,5,Xinjiang Counter-terrorism,Famous Content Creator
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,妹妹好可爱,7,Xinjiang Counter-terrorism,Famous Content Creator
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,这些技能有点低端，加油吧！,8,Xinjiang Counter-terrorism,Government
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,这个事情,8,Xinjiang Counter-terrorism,Government
0,245000,2185,"(2024, 2, 5)",小毛驴_探案,56117,171,怎么都是娘们儿,3,Xinjiang Counter-terrorism,None
1,261000,868,"(2025, 3, 7)",欧肯视线,551148,158,新政府军 对旧政府部族人民的血腥报复,4,Xinjiang Counter-terrorism,Famous Content Creator
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,肉串20，馕饼和茶是免费的。,9,Xinjiang Counter-terrorism,None
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,英国：？,9,Xinjiang Counter-terrorism,None
