Censor_Reason,Punishment_Days
1,30
8,-1
20,7
14,7
8,-1
9,7
9,7
6,-1
14,7
14,7
14,7
14,7
14,7
14,7
6,-1
6,-1
6,-1
6,-1
6,-1
4,-1
4,-1
13,7
7,7
6,7
6,-1
6,-1
13,7
8,-1
4,-1
4,-1
9,7
9,15
14,7
9,7
8,7
6,-1
13,-1
4,-1
6,-1
4,-1
6,-1
6,7
9,-1
9,-1
8,-1
6,7
6,7
8,-1
18,7
7,-1
6,-1
6,-1
13,-1
4,-1
4,-1
4,-1
4,-1
4,-1
6,7
6,-1
9,-1
4,-1
4,-1
6,7
6,-1
6,-1
8,7
6,7
7,3
7,15
14,7
10,7
6,-1
6,-1
6,7
6,-1
6,-1
8,7
7,7
4,-1
7,7
9,-1
14,7
14,7
14,15
9,7
13,-1
7,7
13,7
14,7
10,7
9,7
9,7
10,7
10,7
8,7
8,7
6,-1
9,7
14,7
6,-1
6,7
6,-1
5,-1
9,7
9,-1
6,7
4,-1
6,7
6,-1
7,7
7,7
6,-1
13,7
6,-1
6,-1
6,-1
6,7
6,-1
13,7
14,7
13,7
10,7
10,7
10,7
6,-1
6,-1
6,7
6,-1
20,7
7,7
14,7
6,-1
10,7
4,-1
6,7
7,7
7,7
6,-1
6,7
6,-1
6,-1
8,7
9,7
8,7
6,-1
6,7
6,-1
6,7
8,7
8,7
6,-1
6,-1
6,7
6,-1
6,-1
10,7
10,7
6,-1
6,7
6,-1
6,-1
6,-1
7,7
6,-1
7,7
6,-1
6,-1
13,7
9,7
6,-1
9,7
6,-1
6,-1
13,-1
6,-1
6,7
13,-1
14,7
6,-1
9,7
9,7
6,-1
7,15
6,-1
8,7
6,-1
20,7
7,7
9,15
13,-1
13,-1
6,-1
6,-1
10,7
9,7
9,7
6,7
14,7
8,7
8,7
6,-1
6,-1
7,7
6,-1
6,-1
6,7
6,-1
7,7
13,-1
13,-1
20,7
20,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
6,7
20,7
13,-1
6,7
6,7
6,-1
6,-1
6,7
14,7
14,7
6,-1
8,7
4,-1
7,7
7,-1
6,-1
8,7
7,7
7,7
7,7
6,-1
6,7
10,7
7,7
10,7
10,7
10,7
7,7
7,7
6,-1
6,-1
6,-1
6,-1
6,-1
6,-1
6,-1
8,7
9,7
6,-1
6,7
8,7
6,7
6,7
6,-1
6,7
13,-1
6,-1
6,-1
4,-1
6,7
6,7
7,7
7,7
7,7
10,7
8,7
6,-1
6,7
13,-1
6,7
13,-1
6,7
8,7
6,7
6,-1
6,-1
10,7
6,-1
9,15
7,7
7,15
7,7
8,7
20,7
9,7
7,7
7,7
6,-1
10,7
9,7
10,7
9,15
9,7
9,7
8,7
6,-1
9,-1
6,7
6,-1
6,-1
9,7
9,7
9,7
8,7
9,7
9,7
6,-1
10,7
9,7
7,7
13,-1
6,-1
6,-1
6,-1
6,-1
6,-1
7,7
13,-1
13,-1
7,7
7,7
13,-1
14,-1
7,-1
20,7
7,7
13,-1
6,-1
20,7
6,-1
6,-1
10,7
6,-1
6,-1
10,15
6,-1
9,7
6,-1
6,-1
6,7
8,-1
20,7
7,7
13,-1
9,7
9,7
7,7
20,7
6,-1
10,7
6,-1
6,-1
7,7
13,-1
9,7
9,15
7,7
13,-1
6,-1
13,-1
7,7
20,7
7,7
7,7
13,-1
7,7
20,7
9,7
7,7
7,7
7,7
7,7
6,-1
7,7
10,7
13,7
7,7
8,7
7,7
7,7
7,7
7,7
7,7
7,7
10,7
7,7
7,7
10,7
20,7
20,7
9,-1
7,7
6,-1
7,7
13,-1
13,-1
9,7
9,7
9,7
9,7
7,7
13,-1
10,7
9,7
9,7
10,7
9,7
9,7
9,7
7,7
7,7
7,7
7,7
13,-1
7,7
13,-1
7,7
7,7
9,7
9,7
9,7
9,7
10,7
13,-1
10,7
6,-1
14,7
6,7
6,7
7,7
10,7
7,7
9,7
9,7
7,-1
14,7
14,7
7,7
7,7
13,-1
7,7
7,7
13,-1
7,7
7,7
13,-1
13,-1
14,7
6,7
9,7
7,7
13,-1
9,7
9,7
9,7
9,7
8,7
7,7
7,7
6,7
9,15
6,-1
6,-1
6,-1
6,-1
9,7
6,-1
9,7
10,7
6,7
7,7
7,7
7,7
13,-1
13,-1
13,-1
7,7
13,-1
7,7
13,-1
9,7
9,7
9,7
6,7
6,-1
6,7
7,7
7,7
9,15
9,7
9,7
6,-1
6,-1
13,-1
6,-1
6,7
6,7
7,7
13,-1
6,-1
10,7
9,7
6,7
6,-1
8,7
9,7
13,-1
14,7
6,-1
7,7
7,7
13,-1
9,7
7,7
6,-1
7,7
10,7
13,-1
6,-1
6,7
10,7
13,-1
13,-1
7,7
7,7
10,7
13,-1
6,7
6,7
8,7
7,7
7,7
7,7
9,7
14,7
9,7
7,7
6,-1
8,7
8,7
6,-1
13,-1
7,7
6,-1
6,-1
7,7
6,7
10,7
10,7
14,7
13,-1
7,7
14,7
7,7
7,7
20,7
9,7
9,7
6,-1
6,-1
6,7
6,15
6,-1
6,-1
6,7
14,7
7,7
6,-1
6,-1
13,7
7,7
7,7
6,7
9,7
9,7
9,7
20,7
20,7
10,7
7,7
14,7
7,7
7,7
13,-1
7,7
7,7
13,-1
10,7
9,-1
6,-1
4,-1
9,7
6,-1
9,7
20,7
6,-1
14,7
6,7
4,-1
6,-1
7,7
8,-1
6,7
8,7
7,7
7,7
9,7
9,7
10,7
6,-1
9,7
6,-1
9,7
9,7
18,7
6,-1
7,7
20,7
6,-1
6,-1
13,-1
6,-1
8,7
7,7
13,-1
6,-1
6,-1
20,7
7,7
7,7
7,7
9,7
7,7
13,7
7,7
20,7
6,-1
7,7
7,7
9,15
7,7
9,7
8,7
10,7
10,7
6,15
6,-1
9,7
9,7
9,7
10,7
20,7
7,15
13,-1
20,7
9,7
6,-1
6,-1
6,7
6,7
9,7
8,7
13,-1
10,7
9,7
20,7
7,7
13,-1
13,-1
7,7
7,7
7,7
7,7
7,7
7,7
13,-1
13,-1
7,7
7,7
7,7
7,7
13,-1
13,-1
13,-1
7,7
13,-1
13,-1
7,7
7,7
13,-1
7,7
7,7
13,-1
13,-1
13,-1
13,-1
13,-1
7,7
7,7
13,-1
13,-1
7,7
14,7
9,7
20,7
10,7
6,-1
7,7
7,7
7,7
13,7
7,7
6,-1
10,7
6,-1
6,7
6,-1
9,7
10,7
6,-1
6,-1
6,-1
13,-1
6,-1
7,7
10,7
10,7
9,-1
6,-1
6,-1
9,7
6,-1
6,-1
9,7
6,-1
9,15
9,7
7,7
9,15
6,-1
6,-1
9,7
7,7
13,7
7,7
13,-1
7,7
6,-1
9,7
6,-1
18,-1
10,7
9,7
9,7
6,-1
10,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
7,15
6,7
6,-1
9,15
9,7
10,7
9,7
6,-1
6,-1
6,-1
10,7
6,-1
6,7
6,-1
7,7
7,7
9,15
6,-1
6,-1
6,-1
7,7
7,7
13,-1
13,-1
13,-1
13,-1
7,7
9,7
9,7
7,7
6,-1
9,7
6,-1
9,7
9,7
9,7
9,7
7,7
7,7
7,7
7,15
9,7
7,7
6,-1
13,7
7,7
6,7
6,-1
8,7
6,-1
9,7
9,7
10,7
9,7
9,7
9,7
9,7
9,7
9,15
13,-1
9,7
7,7
7,7
7,7
7,7
13,-1
13,-1
7,7
7,7
13,-1
13,-1
7,7
20,7
9,7
14,7
9,7
6,-1
9,7
10,7
6,-1
9,7
6,-1
9,7
13,-1
10,7
7,7
13,-1
9,7
9,7
8,-1
5,7
9,7
9,15
9,-1
10,7
9,7
9,15
5,7
6,7
6,-1
6,-1
7,7
10,7
20,7
7,7
13,-1
20,7
6,-1
9,7
6,-1
9,-1
9,15
10,7
10,7
7,7
13,-1
7,7
13,-1
7,7
7,7
8,7
7,7
6,-1
10,5
7,7
7,7
6,-1
6,-1
10,7
10,7
10,7
9,7
9,7
9,7
9,7
9,7
9,7
20,7
20,7
20,7
9,7
20,7
10,7
6,7
9,7
7,7
7,7
20,7
5,15
18,7
20,7
20,7
9,7
20,7
20,7
8,7
7,7
13,-1
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
9,7
10,7
7,7
10,7
9,7
9,7
9,7
10,7
9,7
9,7
9,7
9,7
7,7
13,-1
7,7
7,7
13,-1
7,7
20,15
20,7
20,7
20,7
20,7
20,7
20,7
20,7
7,7
20,7
9,7
20,7
20,7
7,7
7,7
7,7
7,7
8,7
8,7
9,-1
9,7
10,7
10,7
7,7
13,-1
9,7
14,7
9,7
